Name (location),Time,Calls,% Time
Summary,46.460s,,100.0
evaluate_node_test,30.890s,1196216169,66.487305
find_dt_leaf_for_inst,12.040s,320016000,25.914766
find_node_distribution,3.200s,20001,6.8876452
extract_hierarcy,210.000ms,1801,0.45200172
assign_classes,60.000ms,,0.12914334
fitness_eval,50.000ms,20001,0.10761946
rnd_perm,10.000ms,1,0.021523891
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
delete_trimmed_subtree,0ns,2,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,52,0.0
random_hiperplane,0ns,52,0.0
tree_delete_child,0ns,62,0.0
tree_create_child,0ns,104,0.0
tree_create,0ns,105,0.0
tree_get_sibling,0ns,862,0.0
tree_copy,0ns,12578,0.0
tree_delete_node,0ns,12613,0.0
efti,0ns,20001,0.0
_extract_hierarcy,0ns,47775,0.0
efti_rnd,0ns,111309,0.0
