Name (location),Time,Calls,% Time
Summary,20.120s,,100.0
evaluate_node_test,13.080s,553928102,65.00994
find_dt_leaf_for_inst,5.090s,159367968,25.29821
find_node_distribution,1.620s,20001,8.05169
extract_hierarcy,240.000ms,1086,1.192843
assign_classes,70.000ms,,0.34791252
fitness_eval,20.000ms,20001,0.099403575
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,4,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,93,0.0
random_hiperplane,0ns,93,0.0
tree_delete_child,0ns,170,0.0
tree_create_child,0ns,186,0.0
tree_create,0ns,187,0.0
tree_get_sibling,0ns,452,0.0
tree_copy,0ns,3676,0.0
tree_delete_node,0ns,3829,0.0
_extract_hierarcy,0ns,16606,0.0
efti,0ns,20001,0.0
efti_rnd,0ns,111045,0.0
