Name (location),Time,Calls,% Time
Summary,13.610s,,100.0
evaluate_node_test,7.580s,402644178,55.694344
find_dt_leaf_for_inst,4.250s,207370368,31.22704
find_node_distribution,1.610s,20001,11.829537
extract_hierarcy,100.000ms,562,0.73475385
assign_classes,60.000ms,,0.4408523
efti_pre_malloc,10.000ms,25,0.07347538
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,6,0.0
tree_get_sibling,0ns,119,0.0
pack_coefs,0ns,164,0.0
random_hiperplane,0ns,164,0.0
tree_delete_child,0ns,314,0.0
tree_create_child,0ns,328,0.0
tree_create,0ns,329,0.0
tree_copy,0ns,1398,0.0
tree_delete_node,0ns,1703,0.0
_extract_hierarcy,0ns,4556,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
efti_rnd,0ns,110769,0.0
