Name (location),Time,Calls,% Time
Summary,41.990s,,100.0
evaluate_node_test,22.780s,1453202188,54.25101
find_dt_leaf_for_inst,14.180s,448902444,33.769947
find_node_distribution,4.520s,20001,10.764468
extract_hierarcy,330.000ms,1450,0.7859014
assign_classes,110.000ms,,0.26196712
fitness_eval,40.000ms,20001,0.09526078
rnd_perm,10.000ms,1,0.023815194
efti_pre_malloc,10.000ms,25,0.023815194
efti,10.000ms,20001,0.023815194
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
delete_trimmed_subtree,0ns,3,0.0
efti_printf,0ns,3,0.0
pack_coefs,0ns,89,0.0
random_hiperplane,0ns,89,0.0
tree_delete_child,0ns,146,0.0
tree_create_child,0ns,178,0.0
tree_create,0ns,179,0.0
tree_get_sibling,0ns,643,0.0
tree_copy,0ns,6450,0.0
tree_delete_node,0ns,6565,0.0
_extract_hierarcy,0ns,35316,0.0
efti_rnd,0ns,111368,0.0
