Name (location),Time,Calls,% Time
Summary,12.720s,,100.0
evaluate_node_test,8.350s,651458404,65.64465
find_dt_leaf_for_inst,3.030s,646002584,23.820755
find_node_distribution,1.300s,250001,10.220126
efti,30.000ms,1,0.23584905
random_hiperplane,10.000ms,2305,0.07861635
_extract_hierarcy,0ns,18544,0.0
delete_trimmed_subtree,0ns,36,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,2584,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,4628,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,4674,0.0
node_free,0ns,4636,0.0
pack_coefs,0ns,2305,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500421,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250422,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,63,0.0
tree_create,0ns,4611,0.0
tree_create_child,0ns,4610,0.0
tree_delete_child,0ns,4574,0.0
tree_delete_node,0ns,4636,0.0
tree_get_sibling,0ns,16,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
