Name (location),Time,Calls,% Time
Summary,1min 9s,,100.0
evaluate_node_test,47.910s,-73175691,68.96502
find_dt_leaf_for_inst,18.530s,1250005000,26.673384
find_node_distribution,2.990s,250001,4.304016
efti,40.000ms,1,0.05757881
_extract_hierarcy,0ns,130347,0.0
delete_trimmed_subtree,0ns,47,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,5000,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,11593,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,5094,0.0
node_free,0ns,5050,0.0
pack_coefs,0ns,1768,0.0
random_hiperplane,0ns,1768,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,502014,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,252015,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,1557,0.0
tree_create,0ns,3537,0.0
tree_create_child,0ns,3536,0.0
tree_delete_child,0ns,3488,0.0
tree_delete_node,0ns,5050,0.0
tree_get_sibling,0ns,4042,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
