Name (location),Time,Calls,% Time
Summary,6.800s,,100.0
evaluate_node_test,3.850s,211002541,56.617645
find_dt_leaf_for_inst,2.110s,78363918,31.029411
find_node_distribution,750.000ms,20001,11.029411
extract_hierarcy,60.000ms,806,0.88235295
assign_classes,20.000ms,,0.29411766
efti_rnd,10.000ms,111237,0.14705883
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,6,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,135,0.0
random_hiperplane,0ns,135,0.0
tree_delete_child,0ns,250,0.0
tree_create_child,0ns,270,0.0
tree_create,0ns,271,0.0
tree_get_sibling,0ns,271,0.0
tree_copy,0ns,987,0.0
tree_delete_node,0ns,1220,0.0
_extract_hierarcy,0ns,10486,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
