Name (location),Time,Calls,% Time
Summary,1.980s,,100.0
evaluate_node_test,1.260s,123630483,63.636364
find_dt_leaf_for_inst,500.000ms,44500178,25.252525
find_node_distribution,130.000ms,250001,6.5656567
efti,50.000ms,1,2.5252526
fitness_eval,30.000ms,250001,1.5151515
timing_stop,10.000ms,250000,0.5050505
_extract_hierarcy,0ns,151877,0.0
delete_trimmed_subtree,0ns,57,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,178,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,12507,0.0
node_alloc,0ns,6119,0.0
node_free,0ns,6057,0.0
pack_coefs,0ns,2792,0.0
random_hiperplane,0ns,2792,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500060,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250061,0.0
timing_start,0ns,250001,0.0
tree_copy,0ns,534,0.0
tree_create,0ns,5585,0.0
tree_create_child,0ns,5584,0.0
tree_delete_child,0ns,5516,0.0
tree_delete_node,0ns,6057,0.0
tree_get_sibling,0ns,3486,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
