Name (location),Time,Calls,% Time
Summary,8.990s,,100.0
evaluate_node_test,5.770s,799266233,64.18243
find_dt_leaf_for_inst,2.320s,247500990,25.806452
find_node_distribution,550.000ms,250001,6.117909
tree_copy,130.000ms,4875222,1.4460511
fitness_eval,80.000ms,250001,0.8898776
node_alloc,70.000ms,4877927,0.77864295
efti,40.000ms,1,0.4449388
tree_delete_node,20.000ms,4877847,0.2224694
node_free,10.000ms,4877847,0.1112347
_extract_hierarcy,0ns,308144,0.0
delete_trimmed_subtree,0ns,11,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,990,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,15636,0.0
pack_coefs,0ns,1352,0.0
random_hiperplane,0ns,1352,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500319,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250320,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_create,0ns,2705,0.0
tree_create_child,0ns,2704,0.0
tree_delete_child,0ns,2632,0.0
tree_get_sibling,0ns,6497,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
